Sensor 0,Sensor 1,Sensor 2,Sensor 3,Time
79,0,0,-1,0.012659073
98,1,0,-2,0.022651196
117,0,-1,-2,0.022651196
135,1,-1,-1,0.022651196
152,1,-1,-1,0.022651196
165,0,0,-1,0.022651196
174,0,-1,-1,0.022651196
178,0,0,-2,0.032662153
173,0,-1,-1,0.032662153
161,0,0,-1,0.032662153
139,0,0,-1,0.032662153
114,0,0,-1,0.032662153
84,1,-1,-1,0.032662153
55,0,0,-1,0.042656422
38,0,-1,-1,0.042656422
26,0,0,-2,0.042656422
17,0,0,-1,0.042656422
13,0,-1,-1,0.042656422
11,0,-1,-1,0.042656422
8,1,0,-1,0.042656422
6,1,-1,-2,0.042656422
6,0,0,-2,0.052657843
6,0,-1,-1,0.009912014
8,0,0,-1,0.009912014
15,1,0,0,0.009912014
25,0,-1,-1,0.019766092
38,0,-1,-1,0.019766092
56,0,0,-2,0.019766092
73,0,0,-1,0.019766092
94,0,0,-1,0.029796362
116,0,0,-1,0.029796362
138,0,0,-1,0.029796362
158,1,0,-2,0.029796362
176,0,0,-1,0.029796362
190,0,0,-1,0.029796362
200,0,0,-1,0.029796362
205,0,0,-1,0.039763212
205,0,0,-1,0.039763212
196,0,0,-1,0.039763212
180,0,0,-2,0.039763212
156,1,0,0,0.039763212
125,0,0,-1,0.039763212
86,0,0,-1,0.049764395
58,0,0,-1,0.049764395
31,1,-1,-1,0.049764395
9,1,0,0,0.049764395
6,1,0,-2,0.049764395
6,1,0,-2,0.000185966
7,0,-1,-1,0.000185966
13,0,0,-1,0.000185966
22,0,0,-1,0.000185966
33,0,0,-1,0.009968281
47,0,-1,-1,0.009968281
63,0,0,-1,0.009968281
79,1,0,-1,0.009968281
93,0,0,-1,0.009968281
108,0,0,-1,0.009968281
122,0,0,-1,0.009968281
133,1,0,0,0.019968987
142,0,-1,-1,0.019968987
148,0,0,-1,0.019968987
153,0,-1,-1,0.019968987
155,0,-1,-1,0.019968987
151,0,0,-1,0.019968987
141,0,0,-1,0.019968987
120,1,0,-1,0.029968977
93,0,-1,-1,0.029968977
66,0,0,-1,0.029968977
31,1,0,0,0.029968977
13,0,-1,-1,0.029968977
7,1,-1,0,0.029968977
6,0,0,-1,0.039968729
6,0,-1,-1,0.008615971
6,0,0,-1,0.008615971
6,0,0,-1,0.008615971
8,0,-1,-1,0.008615971
14,1,0,-1,0.01839304
23,0,-1,-1,0.01839304
34,1,-1,-1,0.01839304
47,1,-1,-1,0.01839304
65,0,0,-1,0.01839304
82,0,-1,-1,0.01839304
99,1,0,-1,0.028392076
116,0,0,-1,0.028392076
130,0,-1,-1,0.028392076
141,0,0,-1,0.028392076
148,1,0,-1,0.028392076
150,1,0,0,0.028392076
148,0,-1,-1,0.028392076
138,0,0,-1,0.038392067
124,1,0,-1,0.038392067
106,0,0,-1,0.038392067
86,0,0,-1,0.038392067
60,1,-1,-1,0.038392067
37,1,0,0,0.038392067
10,0,0,-1,0.038392067
6,0,0,-1,0.048392057
6,0,0,-1,0.002411366
8,1,-1,0,0.002411366
13,1,-1,-1,0.002411366
24,0,-1,-1,0.012204647
38,0,0,-1,0.012204647
55,0,0,-1,0.012204647
76,0,-1,-1,0.012204647
96,0,-1,-1,0.012204647
117,1,0,-1,0.022202253
135,0,0,-1,0.022202253
151,0,-1,-1,0.022202253
163,0,0,-1,0.022202253
171,0,0,-1,0.022202253
173,1,0,-1,0.032220125
170,1,0,0,0.032220125
160,0,0,-1,0.032220125
144,0,0,-1,0.032220125
124,0,-1,-1,0.032220125
108,0,0,-1,0.032220125
90,0,0,-1,0.032220125
69,0,-1,-1,0.042200804
48,0,0,-1,0.042200804
26,1,-1,-1,0.042200804
9,0,0,-1,0.042200804
6,1,0,-1,0.042200804
6,0,-1,-2,0.000218868
6,0,0,-1,0.000218868
12,0,-1,-1,0.000218868
24,0,-1,-1,0.010654211
44,0,-1,-1,0.012842417
71,1,0,-1,0.012842417
99,0,0,-1,0.012842417
129,0,0,-1,0.012842417
158,0,0,-1,0.012842417
186,0,0,-1,0.012842417
211,0,0,-1,0.022870541
232,0,0,-1,0.022870541
250,1,0,-1,0.022870541
265,0,0,-1,0.022870541
275,1,0,-1,0.022870541
279,0,0,-1,0.022870541
278,1,-1,-1,0.022870541
269,0,0,-1,0.032869816
248,0,0,-1,0.032869816
203,0,0,-1,0.032869816
133,1,-1,-1,0.032869816
75,1,0,-1,0.032869816
25,0,0,-1,0.032869816
6,1,-1,0,0.042875051
6,0,-1,-1,0.005559206
10,0,-1,-1,0.005559206
22,0,-1,-1,0.005559206
43,0,-1,-1,0.015386581
67,1,0,0,0.015386581
91,0,0,-1,0.015386581
116,0,0,-1,0.015386581
140,0,-1,-1,0.015386581
164,1,0,-1,0.015386581
187,0,0,-1,0.015386581
208,0,0,-1,0.025384188
227,0,0,-1,0.025384188
244,1,0,0,0.025384188
258,0,0,-1,0.025384188
268,1,0,0,0.025384188
274,1,0,0,0.025384188
274,0,0,-1,0.025384188
265,0,-1,-1,0.035383463
245,0,0,-1,0.035383463
208,0,0,-1,0.035383463
162,0,0,-1,0.035383463
121,0,-1,-1,0.035383463
77,0,-1,-1,0.035383463
30,0,0,-1,0.035383463
7,0,-1,-1,0.045383453
6,0,-1,-1,0.007122517
6,1,-1,-1,0.007122517
8,1,-1,-1,0.007122517
9,0,-1,-1,0.007122517
11,0,-1,-1,0.016923189
15,0,0,-1,0.016923189
20,1,-1,-1,0.016923189
26,0,-1,0,0.016923189
32,0,0,-1,0.026920319
37,0,-1,-1,0.026920319
39,0,0,-1,0.026920319
38,0,-1,-1,0.026920319
34,0,0,-1,0.026920319
26,1,0,0,0.026920319
13,0,-1,-1,0.026920319
8,0,0,-1,0.036920309
6,1,-1,-1,0.036920309
6,0,0,-2,0.036920309
6,1,0,-1,0.007326365
6,0,0,-1,0.007326365
6,0,0,-1,0.007326365
8,1,0,-1,0.007326365
9,0,0,-1,0.017327785
12,0,0,-2,0.017327785
14,1,0,-1,0.017327785
18,0,0,-1,0.027327299
21,1,-1,0,0.027327299
24,0,0,-1,0.027327299
23,1,-1,-1,0.027327299
22,0,0,-1,0.027327299
17,0,0,-1,0.027327299
12,0,0,-1,0.027327299
8,1,0,-1,0.037326574
7,0,-1,-1,0.037326574
6,0,0,-1,0.037326574
6,0,0,-1,0.037326574
6,0,-1,-1,0.005734205
6,0,-1,-1,0.005734205
8,0,0,0,0.005734205
11,0,-1,-1,0.015524864
17,0,0,-1,0.015524864
24,0,-1,-1,0.015524864
34,0,-1,-1,0.015524864
45,0,-1,-1,0.025522947
57,1,0,-1,0.025522947
70,0,0,-1,0.025522947
80,1,-1,-1,0.025522947
88,1,-1,-1,0.025522947
91,0,0,-1,0.025522947
89,0,0,-1,0.025522947
83,0,0,-1,0.035523653
73,0,0,0,0.035523653
60,0,-1,-1,0.035523653
42,0,0,-1,0.035523653
24,0,0,-1,0.035523653
12,0,0,-1,0.035523653
7,1,0,-1,0.035523653
6,0,-1,-1,0.045522213
6,0,0,-1,0.045522213
6,0,0,-1,0.002236366
9,0,0,-1,0.003268719
18,0,-1,-1,0.004230738
35,0,-1,-1,0.007222891
54,0,0,-1,0.008221149
74,0,0,-1,0.009222984
96,0,-1,-1,0.011213064
116,0,0,-1,0.013207912
135,0,0,-1,0.015201092
153,0,0,0,0.016198158
169,0,0,-1,0.018193483
182,0,0,-1,0.020187855
192,1,0,0,0.021185637
197,0,0,-1,0.023180008
196,0,0,-1,0.024178267
189,0,0,-1,0.026171684
172,0,0,-1,0.027169466
139,0,0,0,0.029164076
101,0,0,-1,0.030161381
69,0,0,-1,0.031159401
40,0,-1,0,0.032155991
15,0,0,-1,0.0341506
6,0,0,-1,0.036146164
6,0,0,-1,0.000201702
6,0,-1,-1,0.000201702
6,0,0,0,0.000201702
9,0,-1,-1,0.000201702
16,0,0,-1,0.009977579
30,0,0,0,0.009977579
47,0,-1,-1,0.009977579
64,0,0,-1,0.009977579
82,0,0,-1,0.009977579
102,0,0,-1,0.009977579
125,0,0,-1,0.009977579
148,1,0,0,0.019976377
171,0,0,0,0.019976377
192,0,0,-1,0.019976377
211,0,0,0,0.019976377
229,0,0,-1,0.019976377
242,1,0,-1,0.019976377
251,0,0,-1,0.019976377
254,0,0,-1,0.02997613
248,0,0,-1,0.02997613
228,0,-1,0,0.02997613
192,0,0,-1,0.02997613
141,0,0,-1,0.02997613
87,0,0,-1,0.02997613
37,0,0,0,0.02997613
11,1,-1,-1,0.039975882
7,0,0,0,0.039975882
6,0,0,0,0.039975882
6,0,0,-1,0.010002375
8,1,-1,-1,0.010002375
13,1,0,-1,0.010002375
21,0,0,-1,0.019783258
35,1,-1,-1,0.019783258
53,0,0,-1,0.019783258
77,0,0,-1,0.019783258
102,0,0,-1,0.029803038
127,1,0,-1,0.029803038
150,0,0,-1,0.029803038
171,0,-1,-1,0.029803038
189,0,-1,-1,0.029803038
205,0,0,-1,0.029803038
217,0,0,-1,0.039776087
224,0,-1,-1,0.039776087
226,0,0,0,0.039776087
222,0,0,-1,0.039776087
212,0,0,-1,0.039776087
195,0,0,0,0.039776087
172,0,0,-1,0.049777031
141,0,0,0,0.049777031
110,0,0,-1,0.049777031
88,0,0,-1,0.049777031
66,0,0,-1,0.049777031
37,1,-1,-1,0.049777031
17,0,-1,-1,0.059775829
6,0,0,-1,0.059775829
6,0,-1,-1,0.000837564
8,0,0,-1,0.000837564
14,0,0,-1,0.000837564
24,0,-1,-1,0.000837564
42,0,0,-1,0.000837564
64,0,0,-1,0.000837564
88,0,0,-1,0.010813713
113,0,-1,-1,0.010813713
138,0,0,0,0.010813713
158,0,0,-1,0.010813713
175,1,-1,-1,0.010813713
188,1,-1,-1,0.010813713
196,1,0,0,0.010813713
199,0,0,-1,0.020813942
197,0,0,-1,0.020813942
189,0,0,-1,0.020813942
174,1,-1,-1,0.020813942
156,1,0,-1,0.020813942
135,0,0,-1,0.020813942
109,0,-1,-1,0.020813942
79,0,0,-1,0.030815125
51,0,0,-1,0.030815125
16,0,0,0,0.030815125
7,0,-1,-1,0.030815125
6,0,0,-1,0.030815125
6,0,0,-2,0.000161648
6,0,0,-1,0.000161648
6,0,0,-1,0.000161648
9,1,-1,0,0.000161648
15,0,-1,0,0.000161648
23,0,0,-1,0.000161648
33,0,-1,-1,0.00997591
45,0,-1,-1,0.00997591
56,0,0,-1,0.00997591
67,0,-1,-1,0.00997591
78,0,-1,-1,0.00997591
89,0,-1,-1,0.00997591
99,1,0,-1,0.019975424
108,0,-1,-1,0.019975424
113,0,0,-1,0.019975424
116,0,0,-1,0.019975424
115,1,0,-1,0.019975424
110,0,0,-1,0.019975424
100,0,0,0,0.029975653
85,1,0,-1,0.029975653
69,0,0,-1,0.029975653
54,1,-1,-1,0.029975653
40,1,0,0,0.029975653
21,1,0,-1,0.029975653
8,0,-1,-1,0.039975405
6,1,0,-1,0.039975405
6,1,-1,-1,0.039975405
6,0,-1,-1,0.000136375
6,0,-1,-1,0.000136375
7,1,-1,-1,0.000136375
11,0,0,-1,0.000136375
15,0,0,-1,0.00999999
26,0,0,0,0.00999999
39,1,-1,-1,0.00999999
54,1,0,0,0.00999999
72,0,0,-1,0.019997597
89,0,-1,-1,0.019997597
106,0,0,0,0.019997597
124,0,0,0,0.019997597
140,0,-1,-1,0.019997597
154,0,-1,-1,0.019997597
167,1,0,0,0.029998302
178,1,0,0,0.029998302
185,0,0,-1,0.029998302
191,0,-1,-1,0.029998302
191,0,0,-1,0.029998302
187,0,0,0,0.029998302
176,1,0,0,0.029998302
158,0,0,-1,0.039998293
131,0,-1,-1,0.039998293
97,0,-1,-1,0.039998293
55,0,0,-1,0.039998293
19,0,0,-1,0.039998293
9,0,0,0,0.039998293
7,0,0,-1,0.039998293
6,1,-1,-1,0.049998283
6,0,0,-1,0.00015974
6,0,0,-1,0.00015974
9,0,-1,0,0.00015974
22,0,-1,-1,0.009946823
46,0,-1,-1,0.009946823
75,0,0,-1,0.009946823
105,0,0,-1,0.009946823
138,0,-1,-1,0.009946823
172,0,0,-1,0.019975424
203,0,0,0,0.019975424
231,1,0,-1,0.019975424
256,0,0,-1,0.019975424
279,0,0,0,0.019975424
299,0,1,-1,0.019975424
316,1,0,-1,0.019975424
329,0,-1,-1,0.029978514
337,0,0,-1,0.029978514
338,0,0,-1,0.029978514
331,0,0,-1,0.029978514
314,0,0,-1,0.029978514
283,0,0,-1,0.029978514
229,0,0,-1,0.029978514
154,0,0,-1,0.039975166
87,0,0,0,0.039975166
33,0,0,-1,0.039975166
10,0,0,-1,0.039975166
7,0,0,-1,0.039975166
6,0,-1,-1,0.039975166
6,0,-1,-1,0.000517607
6,0,-1,-1,0.000517607
6,0,0,-1,0.000517607
10,1,-1,-1,0.010559082
18,0,-1,0,0.010559082
28,0,-1,0,0.010559082
43,0,-1,-1,0.010559082
59,0,-1,-1,0.020516157
77,0,-1,-1,0.020516157
94,0,-1,-1,0.020516157
113,0,0,-1,0.020516157
132,0,-1,0,0.020516157
151,1,-1,-1,0.020516157
171,0,-1,-1,0.020516157
189,0,0,-1,0.03051424
206,0,-1,0,0.03051424
221,0,0,-1,0.03051424
233,0,-1,-1,0.03051424
241,0,-1,-1,0.03051424
248,0,0,-1,0.03051424
251,0,-1,-1,0.040515661
250,0,0,-1,0.040515661
243,0,-1,-1,0.040515661
235,0,0,-1,0.040515661
221,-1,-1,-1,0.040515661
199,0,0,-1,0.040515661
170,0,0,-1,0.040515661
143,0,-1,-1,0.050514936
112,1,0,0,0.050514936
78,1,-1,-1,0.050514936
41,1,-1,-1,0.050514936
11,1,-1,0,0.050514936
6,0,0,-1,0.050514936
6,0,-1,-1,0.000233889
6,1,-1,-1,0.000233889
9,0,-1,0,0.000233889
17,0,-1,-1,0.000233889
36,0,-1,-1,0.010038614
60,0,-1,-1,0.010038614
89,0,0,-1,0.010038614
114,0,-1,0,0.010038614
139,1,-1,-1,0.010038614
162,0,0,-1,0.010038614
180,0,0,-1,0.010038614
195,0,-1,-1,0.020040751
206,0,0,-1,0.020040751
213,0,0,-1,0.020040751
214,0,-1,-1,0.020040751
211,1,0,0,0.020040751
202,1,0,-1,0.020040751
186,0,0,-1,0.020040751
167,0,0,-1,0.030040979
144,0,-1,-1,0.030040979
116,0,0,-1,0.030040979
88,0,0,-1,0.030040979
64,0,-1,-1,0.030040979
48,0,0,-1,0.030040979
36,0,0,-1,0.040043354
25,0,-1,-1,0.040043354
10,1,-1,-1,0.040043354
7,0,-1,-1,0.040043354
6,1,-1,0,0.040043354
6,0,-1,-1,0.000682116
6,0,0,-1,0.000682116
6,1,0,0,0.000682116
9,1,-1,-1,0.010490894
16,0,-1,-1,0.010490894
24,0,-1,-1,0.010490894
36,0,0,-1,0.010490894
48,1,0,-1,0.010490894
63,0,0,-1,0.010490894
79,1,0,-1,0.010490894
95,1,0,-1,0.020490408
112,0,0,-1,0.020490408
128,0,0,-1,0.020490408
143,1,0,0,0.020490408
156,0,0,-1,0.020490408
166,0,-1,-1,0.020490408
174,0,0,-1,0.020490408
176,0,0,-1,0.030490875
172,1,0,-1,0.030490875
158,0,0,-1,0.030490875
137,0,0,-1,0.030490875
107,0,0,-1,0.030490875
82,1,0,-1,0.030490875
55,1,0,-1,0.040491343
27,0,-1,-1,0.040491343
8,0,0,-1,0.040491343
6,0,-1,-1,0.040491343
6,0,-1,-1,0.000225067
6,1,0,-1,0.000225067
7,0,-1,-1,0.000225067
9,0,0,-1,0.010001183
12,0,-1,-1,0.010001183
16,0,0,-1,0.010001183
24,0,-1,-1,0.010001183
37,0,0,-1,0.010001183
53,0,0,0,0.010001183
71,1,0,-1,0.010001183
90,0,0,-1,0.019998789
107,1,0,-1,0.019998789
122,0,0,-1,0.019998789
133,0,0,-2,0.019998789
141,0,0,-1,0.019998789
143,1,0,-1,0.019998789
143,1,0,-1,0.019998789
137,1,0,-1,0.029997826
127,0,0,-1,0.029997826
114,0,0,-1,0.029997826
98,0,0,-1,0.029997826
76,1,0,-1,0.029997826
55,0,0,-1,0.029997826
33,0,0,-1,0.029997826
20,1,0,-1,0.029997826
13,1,0,-1,0.039998531
10,0,0,-1,0.039998531
7,0,0,-2,0.039998531
6,0,0,-1,0.039998531
6,0,0,-2,0.039998531
6,0,-1,-1,3.10E-06
6,1,-1,-1,3.10E-06
6,0,0,-1,3.10E-06
8,0,0,-1,3.10E-06
12,0,-1,-1,3.10E-06
18,0,-1,-1,0.009839058
30,0,-1,-1,0.009839058
47,0,0,-1,0.009839058
66,0,-1,-1,0.009839058
86,0,0,-1,0.009839058
107,1,-1,-1,0.009839058
128,0,-1,-1,0.009839058
148,0,-1,-1,0.019813538
165,0,0,-1,0.019813538
179,0,0,-1,0.019813538
191,0,0,-1,0.019813538
199,0,-1,-1,0.019813538
203,0,-1,-1,0.019813538
203,0,0,-2,0.029837847
199,1,0,-1,0.029837847
187,0,-1,-1,0.029837847
170,0,0,-1,0.029837847
142,0,0,-2,0.029837847
112,0,0,-1,0.029837847
84,0,-1,-1,0.029837847
42,1,-1,-1,0.029837847
16,1,-1,-1,0.039814234
7,0,-1,-1,0.039814234
6,0,0,-1,0.039814234
7,0,0,-1,0.002854347
6,0,-1,-1,0.004848957
6,1,0,-1,0.006854057
7,0,0,-1,0.007816792
11,0,-1,-1,0.008813143
17,0,-1,-1,0.010808229
27,0,-1,-1,0.011830568
39,0,-1,-1,0.013835192
56,0,0,-1,0.015819073
76,1,0,-1,0.016817093
99,0,0,-1,0.018815756
123,0,0,-1,0.019808531
145,0,0,-1,0.02177906
165,1,0,-1,0.023773909
182,0,0,-1,0.024771452
195,1,0,-1,0.025789261
205,0,0,-1,0.027794361
210,0,0,-1,0.028790712
212,0,0,-1,0.02978158
209,0,0,-1,0.03080678
199,0,0,-1,0.033771992
183,1,-1,-1,0.035772562
160,1,0,-1,0.036762714
132,0,0,-1,0.037760735
104,1,1,-2,0.039754629
80,0,0,-1,0.040729284
51,0,-1,-1,0.041725874
27,0,0,-1,0.043755293
10,0,0,-1,0.045739174
7,0,0,-1,0.046742201
6,1,0,-2,0.047739506
6,0,-1,-1,0.000138998
6,1,-1,-2,0.000138998
6,0,-1,-1,0.000138998
9,0,-1,-1,0.000138998
16,0,-1,-1,0.000138998
28,0,-1,-1,0.000138998
47,1,-1,-1,0.000138998
69,1,0,-2,0.010133266
91,1,-1,-1,0.010133266
112,0,-1,-1,0.010133266
135,0,-1,-1,0.010133266
156,0,-1,-1,0.010133266
177,1,0,-1,0.010133266
195,0,0,-1,0.010133266
211,0,0,-2,0.010133266
225,1,0,-1,0.020134687
238,0,0,-1,0.020134687
248,1,-1,0,0.020134687
256,0,-1,-1,0.020134687
261,0,0,-1,0.020134687
261,0,0,-1,0.020134687
257,1,-1,-1,0.03011322
244,0,-1,-1,0.03011322
224,0,0,-1,0.03011322
195,0,-1,-1,0.03011322
161,1,-1,-1,0.03011322
124,0,0,-1,0.03011322
76,0,0,0,0.040134668
34,0,0,-1,0.040134668
9,0,-1,-1,0.040134668
7,1,0,-1,0.040134668
6,0,0,-1,0.006426334
8,0,-1,-1,0.006426334
14,1,-1,-1,0.006426334
22,0,-1,-1,0.006426334
39,0,0,-1,0.016423464
61,0,0,0,0.016423464
85,0,0,-1,0.016423464
110,0,0,-1,0.016423464
135,0,0,-1,0.016423464
158,0,-1,-1,0.026422024
179,0,-1,-1,0.026422024
197,0,0,-1,0.026422024
212,1,0,-1,0.026422024
223,0,0,-1,0.026422024
231,1,-1,0,0.026422024
235,0,0,-1,0.036421537
234,0,0,-2,0.036421537
228,0,0,-1,0.036421537
213,0,-1,-1,0.036421537
191,0,0,-1,0.036421537
159,0,0,-1,0.036421537
115,1,0,-1,0.036421537
73,0,-1,-1,0.046422005
29,0,0,-1,0.048934698
11,0,-1,0,0.049931765
7,0,-1,-1,0.05092907
6,0,0,-2,0.052924871
6,0,-1,-2,0.053921223
6,0,-1,-1,0.000219822
9,0,-1,-1,0.000219822
16,0,0,-1,0.000219822
27,1,-1,0,0.000219822
42,0,0,-2,0.009995222
58,0,-1,-1,0.009995222
76,0,-1,-1,0.009995222
96,1,-1,-1,0.009995222
116,0,-1,-1,0.009995222
136,0,-1,-2,0.020003557
156,0,0,-1,0.020003557
174,0,-1,-1,0.020003557
190,0,-1,-1,0.020003557
204,0,0,-1,0.020003557
216,0,0,-1,0.020003557
